year,tmean.aug,tmin.aug,tmin.may,tmax.aug,ppt.aug,pdsi.oct,tmean.mjja,ppt.jja,pdsi.aso,tmin.mjja,tmax.mjja,pdsi.sep,stream.yel,swe.yel,tmax.lsum
1788,,,,,,,,,,,,,94.79521928,25.89,0.52
1789,,,,,,,,,,,,,145.1397717,65.644,-0.71
1790,,,,,,,,,,,,,127.2876989,60.209,0
1791,,,,,,,,,,,,,122.1198987,43.535,-0.73
1792,,,,,,,,,,,,,154.0942508,21.124,0.07
1793,,,,,,,,,,,,,69.6284032,59.316,0.4
1794,,,,,,,,,,,,,74.43658417,31.269,1.56
1795,,,,,,,,,,,,,50.09408352,45.213,1.33
1796,,,,,,,,,,,,,122.4014142,52.337,0.43
1797,,,,,,,,,,,,,104.6613749,63.89,-1
1798,,,,,,,,,,,,,64.23717531,40.519,0.38
1799,,,,,,,,,,,,,141.8359871,52.064,0.77
1800,,,,,,,,,,,,,40.62435096,41.202,1.14
1801,,,,,,,,,,,,,113.1843642,63.488,-0.55
1802,,,,,,,,,,,,,120.4443509,31.207,1.68
1803,,,,,,,,,,,,,106.6071751,61.883,-0.12
1804,,,,,,,,,,,,,77.9446723,47.416,0.31
1805,,,,,,,,,,,,,102.043756,53.754,0.15
1806,,,,,,,,,,,,,71.5791333,94.749,-0.13
1807,,,,,,,,,,,,,73.75414546,48.156,0.19
1808,,,,,,,,,,,,,74.60817822,49.391,0.89
1809,,,,,,,,,,,,,106.1173596,79.847,-1.21
1810,,,,,,,,,,,,,162.4749588,76.066,-1.69
1811,,,,,,,,,,,,,163.6011814,57.607,-0.76
1812,,,,,,,,,,,,,90.11278986,41.056,0.59
1813,,,,,,,,,,,,,98.35273369,58.175,-0.41
1814,,,,,,,,,,,,,63.7949697,43.111,0.27
1815,,,,,,,,,,,,,110.6079735,60.78,-0.75
1816,,,,,,,,,,,,,86.25542821,35.14,0.75
1817,,,,,,,,,,,,,96.33551769,44.69,0.64
1818,,,,,,,,,,,,,82.5631845,66.079,0.39
1819,,,,,,,,,,,,,105.6297947,58.632,-0.1
1820,,,,,,,,,,,,,138.6074059,47.939,-0.46
1821,,,,,,,,,,,,,126.4114566,52.955,0.48
1822,,,,,,,,,,,,,62.77495868,52.847,-0.83
1823,,,,,,,,,,,,,97.67567823,37.461,0.32
1824,,,,,,,,,,,,,77.9446723,75.724,0.03
1825,,,,,,,,,,,,,99.72095651,47.888,0.45
1826,,,,,,,,,,,,,132.6741871,52.614,-0.12
1827,,,,,,,,,,,,,126.7028651,38.949,0.74
1828,,,,,,,,,,,,,165.4955938,43.364,-0.96
1829,,,,,,,,,,,,,92.63741665,44.892,0.66
1830,,,,,,,,,,,,,88.46804609,60.962,0.51
1831,,,,,,,,,,,,,86.65356517,44.332,1.11
1832,,,,,,,,,,,,,167.7978669,86.608,0
1833,,,,,,,,,,,,,108.0902286,38.382,0.33
1834,,,,,,,,,,,,,66.03686316,42.602,0.14
1835,,,,,,,,,,,,,137.02078,55.581,-2.13
1836,,,,,,,,,,,,,108.3394024,67.832,0.56
1837,,,,,,,,,,,,,174.4963855,62.838,-1.03
1838,,,,,,,,,,,,,163.2249091,85.13,-2.61
1839,,,,,,,,,,,,,123.5339805,12.283,-0.87
1840,,,,,,,,,,,,,100.6436632,61.724,-0.47
1841,,,,,,,,,,,,,96.33551769,45.145,0.06
1842,,,,,,,,,,,,,66.64789473,69.948,0.3
1843,,,,,,,,,,,,,141.18431,31.52,0.12
1844,,,,,,,,,,,,,87.45536074,61.594,-1.55
1845,,,,,,,,,,,,,66.95552744,75.962,-1.29
1846,,,,,,,,,,,,,60.36517104,49.259,0.36
1847,,,,,,,,,,,,,105.1444698,68.996,-0.22
1848,,,,,,,,,,,,,79.39377195,42.184,-1.47
1849,,,,,,,,,,,,,172.4989419,51.739,-0.76
1850,,,,,,,,,,,,,100.6436632,47.371,-0.18
1851,,,,,,,,,,,,,89.6987592,49.781,-1.06
1852,,,,,,,,,,,,,93.92613149,44.415,0.32
1853,,,,,,,,,,,,,200.8105083,61.028,0.08
1854,,,,,,,,,,,,,162.8495023,44.911,0.55
1855,,,,,,,,,,,,,55.05369031,59.833,0.37
1856,,,,,,,,,,,,,72.57489823,56.402,1.47
1857,,,,,,,,,,,,,85.07195936,56.485,0.85
1858,,,,,,,,,,,,,92.4243565,59.371,-0.93
1859,,,,,,,,,,,,,89.9055362,44.814,-0.17
1860,,,,,,,,,,,,,112.9240474,52.219,-0.93
1861,,,,,,,,,,,,,86.05704623,65.806,0.77
1862,,,,,,,,,,,,,105.1444698,60.549,-0.1
1863,,,,,,,,,,,,,60.226335,42.636,1.29
1864,,,,,,,,,,,,,74.26538478,64.287,0.57
1865,,,,,,,,,,,,,83.32713224,52.103,-0.13
1866,,,,,,,,,,,,,186.9762458,43.984,-1.48
1867,,,,,,,,,,,,,122.1198987,62.39,0.02
1868,,,,,,,,,,,,,146.820411,53.635,-0.43
1869,,,,,,,,,,,,,90.11278986,33.66,0.02
1870,,,,,,,,,,,,,100.4121892,55.009,0.7
1871,,,,,,,,,,,,,64.38525729,49.326,0.97
1872,,,,,,,,,,,,,102.7510895,79.074,-0.51
1873,,,,,,,,,,,,,125.2525094,50.564,0.42
1874,,,,,,,,,,,,,91.15624679,40.531,0.6
1875,,,,,,,,,,,,,104.9026443,66.333,-2.37
1876,,,,,,,,,,,,,104.1804995,70.764,-0.15
1877,,,,,,,,,,,,,123.2498603,45.457,0.31
1878,,,,,,,,,,,,,80.12839348,43.115,0.07
1879,,,,,,,,,,,,,85.85912051,58.928,-0.82
1880,,,,,,,,,,,,,105.6297947,85.573,-1.63
1881,,,,,,,,,,,,,94.35967481,69.45,0.24
1882,,,,,,,,,,,,,81.05623655,52.554,0.47
1883,,,,,,,,,,,,,96.55759399,73.282,-1.59
1884,,,,,,,,,,,,,133.5938407,58.827,-0.93
1885,,,,,,,,,,,,,148.5205113,46.081,-0.33
1886,,,,,,,,,,,,,72.57489823,32.201,-0.24
1887,,,,,,,,,,,,,106.1173596,86.218,-0.28
1888,,,,,,,,,,,,,84.0981487,39.428,-0.14
1889,,,,,,,,,,,,,39.06487469,40.952,1.04
1890,,,,,,,,,,,,,137.6532392,78.408,0.29
1891,,,,,,,,,,,,,96.33551769,50.154,0.11
1892,,,,,,,,,,,,,78.66588548,48.525,0.14
1893,,,,,,,,,,,,,67.41964098,71.852,0.37
1894,,,,,,,,,,,,,115.0234622,76.166,1.22
1895,9.934000015,2.845000029,-3.951999903,17.02300072,17.81800079,-1.44,6.794000268,124.4760036,-1.033333333,0.033250034,13.55550027,-0.95,97.67567823,51.53,0.12
1896,10.77600098,4.796000004,-3.335000038,16.75699997,28.70800018,-2.29,7.758000553,122.0909996,-2.446666667,1.699000016,13.81750011,-2.09,70.59703077,60.707,-0.39
1897,12.91200066,6.623000145,0.681999981,19.20299911,11.57299995,-2.84,9.263250589,172.8389988,-2.793333333,2.859000057,15.66874957,-3.01,83.32713224,51.385,1.23
1898,10.81000042,3.194000006,-2.792999983,18.4260006,15.5010004,-1.96,7.002250284,173.1729974,-1.81,0.768250018,13.23650038,-1.82,114.2316462,46.339,0.91
1899,8.347000122,0.49000001,-4.080999851,16.20400047,39.8409996,-2.53,6.870000303,135.9029999,-2.29,0.104500056,13.63550019,-2.39,91.36638364,81.648,-2.4
1900,9.383000374,1.279999971,-2.786999941,17.48699951,21.51099968,-4.86,8.40650034,46.3369999,-5.04,0.435000002,16.37924981,-4.96,73.92416633,35.131,0.86
1901,11.49800014,5.058000088,-0.400999993,17.93899918,25.46899986,-2.18,8.692250252,140.8789997,-2.003333333,1.988500007,15.3972497,-1.73,79.76023695,37.163,0.82
1902,8.541000366,0.656000018,-2.316999912,16.42700005,8.798000336,-3.36,6.75600028,114.7470016,-3.116666667,-0.677499965,14.19099998,-3.08,66.49460883,75.675,0.64
1903,9.30700016,1.712000012,-5.34800005,16.90200043,15.17199993,-1.57,6.377250284,134.3900023,-1.643333333,-0.537500009,13.29325008,-1.4,96.78018223,58.463,0.56
1904,9.262000084,1.705000043,-4.486000061,16.81900024,40.20999908,-1.98,6.3012501,125.7439957,-1.563333333,-0.949750036,13.55299997,-1.58,109.3418545,35.795,0.25
1905,10.36300087,3.374000072,-5.137000084,17.35300064,29.70599937,-0.8,5.696250285,183.8399944,-0.83,-0.6505,12.04375029,-1.06,86.05704623,31.461,-0.17
1906,8.511000633,0.683000028,-2.289999962,16.34000015,67.40399933,0.87,6.412750244,171.3339996,1.263333333,-0.572749988,13.39974976,1.19,132.9800327,46.457,-0.96
1907,8.80300045,0.279000014,-6.438000202,17.32799911,66.92900085,2.29,5.680250341,214.6569977,2.64,-1.234750055,12.59674978,2.83,184.8359464,64.048,-2.22
1908,7.847000599,0.280999988,-3.381999969,15.41499996,47.05400085,2.6,6.775000513,187.6940003,2.623333333,0.48825001,13.0630002,2.3,147.8381215,23.439,-1.04
1909,10.71200085,2.282999992,-4.197000027,19.14299965,34.71500015,1.21,7.332250595,156.6299973,1.083333333,0.347000003,14.31874967,1.34,122.1198987,59.215,0.51
1910,7.605000496,-1.574000001,-4.909999847,16.7859993,18.61899948,-1.68,7.126250267,78.56100082,-2.383333333,-1.28974995,15.54299998,-2.3,113.1843642,54.05,1.36
1911,7.099000454,-0.97299999,-4.752999783,15.17199993,22.70499992,0.71,6.388750255,133.6299992,0.1,-0.98999995,13.76874995,0.17,123.2498603,64.413,-0.18
1912,7.65500021,0.105999999,-5.087999821,15.20499992,49.39500046,3.25,5.840000182,161.3810005,2.203333333,-1.210499959,12.89174986,2.18,121.5588088,59.496,-0.47
1913,9.527000427,0.68900001,-4.643000126,18.36599922,20.56800079,1.75,6.825750411,194.2940063,1.543333333,-1.115250033,14.76749992,1.36,189.1413287,53.435,0.04
1914,9.528000832,0.418000013,-5.331999779,18.63899994,9.414999962,-0.73,7.35975033,134.4869967,-0.986666667,-0.852249973,15.57225037,-0.9,181.4623102,33.541,0.92
1915,9.736000061,1.493999958,-5.453000069,17.97900009,64.94999695,3.94,5.467000157,259.2330017,4.066666667,-2.187999979,13.12325001,4.46,90.73742188,62.71,-1
1916,9.028000832,0.034000002,-4.497000217,18.02300072,37.43799973,2.39,6.821250409,157.6860008,2.266666667,-0.595750043,14.24000001,1.93,145.4743534,64.403,-0.33
1917,9.005000114,1.299999952,-5.191999912,16.71100044,16.19300079,-1.42,6.680750273,83.77600097,-1.293333333,-0.34800005,13.71025002,-1.11,123.2498603,58.429,-1.04
1918,8.68900013,1.350000024,-5.639999866,16.02899933,39.68299866,1.24,7.077500165,149.0299988,0.3,0.107250005,14.04874969,0.48,110.3535822,57.283,-0.92
1919,11.0710001,3.430000067,-4.163000107,18.71299934,11.46899986,-4.13,9.15800035,38.1949997,-4.973333333,0.825499997,17.49099994,-5.2,55.18060217,40.938,1.4
1920,9.625,2.536000013,-4.485000134,16.7140007,48.04100037,-1.15,6.728250295,159.5569973,-1.08,-0.449500025,13.90725017,-1.22,112.4052085,71.728,-0.33
1921,9.539000511,1.531000018,-4.118000031,17.54899979,32.75899887,-2.39,7.069500327,137.637001,-1.963333333,0.152499974,13.98724985,-1.78,109.5939135,56.334,1.28
1922,12.37800026,4.170000076,-0.768000007,20.58699989,51.44900131,-1,8.541000366,183.4470024,-0.236666667,1.861000031,15.22175002,-0.73,88.26457523,57.902,0.66
1923,9.388000488,2.832000017,-3.832000017,15.94499969,57.00899887,3.16,8.476000369,232.3329963,2.303333333,2.535499931,14.41750002,2.1,118.7917925,32.251,-1.22
1924,9.243000031,1.521000028,-4.486999989,16.96500015,25.07799911,1.02,6.855750263,136.9179993,-0.496666667,-0.175499976,13.88725019,-1.13,64.23717531,60.42,0.42
1925,9.727000237,2.263999939,-3.140000105,17.19000053,47.70299911,1.45,7.925500333,162.4649963,1.376666667,0.850499992,15.00100017,1.18,143.8091222,56.596,-0.17
1926,11.33500099,6.138000011,0.27700001,16.53300095,81.80599976,0.6,8.795000553,180.5090027,0.19,2.834499978,14.75650024,1.05,78.66588548,45.067,0.66
1927,8.61400032,3.75999999,-4.853000164,13.46800041,59.32699966,2.21,6.716500256,184.9329948,2.52,1.749500036,11.68425012,2.62,153.7398438,61.569,-1.87
1928,9.222000122,1.631999969,1.230000019,16.81399918,40.38999939,1.42,8.323000431,196.9440002,1.776666667,2.411750018,14.23525,1.57,131.7608645,47.664,0.17
1929,12.35000038,5.031000137,-5.795000076,19.67099953,33.64400101,-1.74,8.573250264,117.6520004,-1.526666667,1.570250094,15.57799959,-1.26,107.3461407,46.274,0.92
1930,12.47600079,7.72300005,-4.250999928,17.22900009,103.7180023,2.36,8.802500546,183.8620014,-0.593333333,2.394750029,15.21124983,-2,81.80624067,56.288,-0.22
1931,10.72600079,3.48300004,-3.802000046,17.96999931,31.70100021,-3.53,8.964250684,107.5680008,-3.756666667,2.174499929,15.75524974,-3.68,57.78118383,32.492,1.59
1932,10.87100029,2.907000065,-0.27700001,18.83699989,46.92100143,-1.08,8.674500227,199.3430061,-1.243333333,2.43975006,14.91025019,-1.48,83.51922111,56.658,0.8
1933,9.718000412,3,-4.446000099,16.43700027,71.55999756,-2.69,9.11950019,114.9279976,-2.436666667,2.307249904,15.93225038,-2.35,74.26538478,51.508,1.08
1934,10.64700031,3.289999962,-0.558000028,18.00499916,21.02300072,-3.29,9.788000464,171.4560032,-3.233333333,2.657499947,16.91974974,-2.97,40.25190468,61.305,1.33
1935,10.77200031,2.470999956,-1.842000008,19.0739994,24.77700043,-3.49,8.109250367,82.70100022,-3.333333333,0.961499929,15.25799978,-3.54,95.67234865,48.954,0.8
1936,12.79300022,7.475999832,1.513000011,18.11000061,57.62400055,-3.7,11.80525041,153.1490021,-3.82,5.913500071,17.69750023,-3.82,80.3131085,47.154,1
1937,11.62100029,3.305999994,0.552999973,19.93700027,12.97799969,-2.61,9.541750431,163.4849997,-2.5,2.944999937,16.13925028,-2.32,104.6613749,31.744,1.13
1938,10.41900063,2.266000032,-4.132999897,18.5720005,52.27299881,1.88,8.03875038,202.7010002,1.73,1.398250044,14.68000031,1.12,111.1185167,57.037,0.45
1939,10.74900055,2.911999941,0.981000006,18.58600044,33.93000031,-1.66,8.869250417,155.9430027,-1.66,1.829249963,15.90974998,-1.86,65.88498259,41.964,1.17
1940,11.99400043,3.440999985,-2.674000025,20.54899979,26.92900085,-1.98,9.625000477,140.451004,-1.916666667,1.73300001,17.51824999,-1.67,85.66165002,29.063,1.53
1941,10.26300049,4.176000118,-2.296999931,16.35000038,97.29599762,3.02,8.714000463,231.737999,1.676666667,2.508249998,14.92075014,2.75,97.45103041,38.595,-1.12
1942,9.995000839,2.015000105,-5.118999958,17.97699928,24.36700058,-0.16,6.616250321,113.0840015,0.563333333,-0.518249929,13.75174987,0.77,124.6770264,45.009,0.32
1943,11.04100037,3.390000105,-5.06099987,18.69300079,50.38700104,0.92,7.385000288,165.2660008,1.356666667,0.907500088,13.86325037,1.23,110.6079735,65.848,-0.18
1944,10.65300083,3.58100009,-2.798000097,17.72699928,16.14100075,1.21,7.416000485,283.8900089,1.913333333,1.25699997,13.57624984,2.24,100.8756708,48.406,-0.04
1945,9.54900074,2.450000048,-4.282000065,16.64800072,79.82499695,1.58,6.450000346,223.6419964,1.93,0.22724995,12.67400014,2.29,112.6643293,32.063,-0.59
1946,9.819000244,2.894999981,-1.610999942,16.74300003,22.02700043,1.97,7.827750206,119.6590004,0.54,1.610750042,14.04575026,0.39,91.36638364,62.873,1.28
1947,10.76400089,2.871999979,-3.130000114,18.65699959,48.97000122,-0.56,7.860500515,206.562006,0.336666667,1.045999974,14.67549992,0.77,145.1397717,62.261,0.81
1948,12.15700054,5.862999916,-0.55400002,18.45100021,37.33800125,-1.21,9.046250582,203.916996,-0.19,3.252000004,14.84149981,-0.53,96.55759399,46.342,0.65
1949,13.25700092,6.859000206,-1.083999991,19.65699959,18.82799911,0.69,9.405000567,115.8899956,-0.496666667,2.967500046,15.84325004,-0.95,104.9026443,55.013,2.01
1950,10.57000065,4.131000042,-5.222000122,17.00900078,25.96999931,3.17,6.984750465,170.4969959,3.126666667,0.868499965,13.10175025,3.51,139.8899244,61.696,0.17
1951,10.36400032,4.368000031,-2.049000025,16.36000061,68.53900146,4.63,7.523500264,211.711998,4.346666667,1.592999995,13.45525002,4.15,125.2525094,55.089,-2.79
1952,12.15400028,6.002999783,-1.980000019,18.30599976,55.36899948,-1.94,9.166000366,141.737999,0.893333333,3.097249925,15.23525,1.78,95.01374483,66.702,0.06
1953,12.53300095,6.198999882,-4.420000076,18.86700058,49.27799988,-1.89,9.079250574,130.0370007,-0.813333333,2.866499961,15.29225016,-1.32,91.99970516,60.167,-0.3
1954,11.36900043,5.052999973,-2.000999928,17.68600082,32.20800018,-1.52,8.968250394,140.866003,-1.43,2.805499978,15.13175035,-1.55,65.43143356,57.836,-0.35
1955,13.8220005,7.171999931,-1.264999986,20.47200012,25.28800011,-1.35,9.220250368,128.2119999,-0.97,3.173749953,15.26775002,-0.98,64.68244614,58.912,1.12
1956,10.61900043,4.114999771,-0.634000003,17.12400055,30.96800041,-2.59,9.422750592,83.49300003,0.136666667,3.405499891,15.44149971,1.14,101.5749075,67.279,0.55
1957,12.13800049,5.524000168,-2.309000015,18.75200081,31.60700035,3.97,8.818000376,204.5200024,4.363333333,2.56175001,15.07475019,4.28,113.1843642,39.687,0.61
1958,12.16600037,5.670000076,1.628000021,18.66399956,49.39099884,1.01,8.97475028,207.038002,1.966666667,2.754500002,15.19599986,2.13,81.05623655,58.633,-0.03
1959,11.34100056,4.474999905,-4.744999886,18.20899963,25.35499954,1.24,8.629250437,103.7950001,1.086666667,2.186000049,15.07375002,0.9,79.94410329,54.48,0.11
1960,10.10300064,2.931999922,-2.490999937,17.27499962,60.8370018,-2.96,8.988750279,110.5220032,-2.723333333,2.259000033,15.7192502,-2.87,71.74414024,48.839,0.36
